"Indicator","Economy","Unit of Measure","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","Definition","Data Coverage","Calendar Year","Base Year","Source","Footnotes"
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","KOR-Jeju-do","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","Mongolia","percent","98","...","...","...","...","...","...","...","...","...","98","...","...","...","...","...","...","...","96.89634705","...","99","...","98.72621918","...","...","...","The percentage of the population aged 15 years and older who can both read and write (with understanding) a short simple statement on his or her everyday life. Generally, literacy also encompasses numeracy, i.e., the ability to make simple arithmetic calculations.","From 2000 to 2025","Ending 31 December","","United Nations Educational, Scientific and Cultural Organization",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","MON-Western region","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","MON-Bayan-Ulgii","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","MON-Govi-Altai","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","MON-Zavkhan","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","MON-Uvs","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","MON-Khovd","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","MON-Khangai region","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","MON-Arkhangai","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","MON-Bayankhongor","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
